<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240401;090000;2322.8;2326.8;2320.6;2324.2;161
240401;100000;2323.6;2325.4;2319.2;2319.2;98
240401;110000;2320.9;2321.4;2315.8;2317.5;57
240401;120000;2317.3;2318.4;2310.5;2312.3;62
240401;130000;2312.9;2314.5;2308.8;2310.5;94
240401;140000;2310.9;2315.8;2310.9;2312;87
240401;150000;2311.1;2314.5;2308.3;2312.3;78
240401;160000;2315.7;2322.9;2305.1;2310.6;224
240401;170000;2309.2;2309.2;2297.1;2304.2;213
240401;180000;2304.6;2306.3;2301.5;2304.7;61
240401;190000;2305.8;2309.1;2302.7;2302.9;183
240401;200000;2303.6;2305;2300.9;2304.7;36
240401;210000;2304;2305.8;2303.2;2304.3;45
240401;220000;2304;2308.8;2304;2308.8;16
240401;230000;2308.1;2313.5;2308.1;2311.3;323
240402;090000;2313.6;2315;2308.2;2310.7;1910
240402;100000;2310.9;2313.3;2308.8;2311.5;2970
240402;110000;2312;2318.1;2311.8;2312.1;3173
240402;120000;2312.1;2316.7;2310.3;2315;957
240402;130000;2314;2320;2311;2318;150
240402;140000;2317;2319;2314.8;2319;259
240402;150000;2319.5;2319.8;2313.6;2316;109
240402;160000;2315.7;2324.9;2315;2323.3;320
240402;170000;2322.5;2334.3;2319;2321.9;330
240402;180000;2321.6;2321.6;2314;2320.6;250
240402;190000;2321.8;2321.8;2311.4;2318.1;1118
240402;200000;2317.6;2324;2317.6;2323.3;97
240402;210000;2324.1;2328.4;2323.9;2326.9;175
240402;220000;2327.5;2334.3;2327.5;2332.1;121
240402;230000;2331;2337.4;2331;2337.4;110
240403;090000;2340.9;2340.9;2336;2336.8;154
240403;100000;2335.5;2335.6;2329.1;2331.1;269
240403;110000;2330.9;2339.8;2327.6;2335.3;234
240403;120000;2335.2;2337;2331.7;2334;230
240403;130000;2334;2335.4;2333;2334.2;42
240403;140000;2335;2336.6;2331.4;2335.6;56
240403;150000;2335.5;2336.3;2330;2334.9;178
240403;160000;2336.2;2338.5;2333;2336.7;160
240403;170000;2337.8;2344.4;2335;2342.4;270
240403;180000;2342;2346;2340.9;2344.1;1999
240403;190000;2346;2349.3;2343.4;2349;2599
240403;200000;2349.2;2350.1;2345.6;2349.4;92
240403;210000;2349.9;2352.8;2349.2;2352.1;272
240403;220000;2351.5;2352.7;2350.8;2352.3;99
240403;230000;2353;2355.3;2353;2353.3;741
240404;090000;2350.1;2351;2349;2350.8;228
240404;100000;2350.9;2353.7;2348.4;2349.5;172
240404;110000;2349.8;2352.4;2349.4;2351.2;182
240404;120000;2350.9;2355.2;2350.9;2354.6;130
240404;130000;2354.8;2356.6;2354.2;2355.9;366
240404;140000;2355.3;2356.1;2350;2350;66
240404;150000;2350.2;2353;2346.6;2351.9;169
240404;160000;2351.2;2353.9;2350;2351.3;70
240404;170000;2352.3;2362.7;2352.2;2358.2;477
240404;180000;2358.2;2358.3;2355;2355;40
240404;190000;2356.1;2357.3;2353.5;2353.5;178
240404;200000;2354;2359.9;2354;2359.9;38
240404;210000;2359.6;2367.3;2359.6;2366.7;273
240404;220000;2366.8;2366.8;2344.1;2348.4;312
240404;230000;2348.8;2354.4;2348.8;2352;44
240405;090000;2344;2348.5;2341.5;2344.1;161
240405;100000;2345;2355.1;2344.9;2354.9;902
240405;110000;2354.9;2356;2348.6;2350;101
240405;120000;2350.1;2355.6;2349.1;2354.4;125
240405;130000;2354.3;2358.1;2353.9;2356.4;115
240405;140000;2356.2;2356.9;2353;2353;35
240405;150000;2354.8;2356.9;2344.2;2350.9;235
240405;160000;2352;2363.2;2349.3;2362;169
240405;170000;2359.4;2377.2;2357.5;2369.4;4499
240405;180000;2368;2383.2;2368;2381;2352
240405;190000;2382.6;2384.7;2378.6;2384.7;498
240405;200000;2384.8;2388.1;2383.2;2384.5;122
240405;210000;2383.3;2386.3;2382.5;2384;55
240405;220000;2383.5;2383.5;2379.1;2382.5;110
240405;230000;2383;2389.7;2383;2389.3;104
240408;090000;2393.3;2395.7;2386.5;2392;333
240408;100000;2390.9;2395;2389.5;2392.1;187
240408;110000;2392.9;2397.3;2389.7;2391.6;222
240408;120000;2390.8;2393.5;2390.8;2393;33
240408;130000;2393.4;2398.2;2391.6;2395.7;149
240408;140000;2395;2397;2394;2394.6;62
240408;150000;2393.9;2395;2383.3;2388.1;247
240408;160000;2389;2395;2386.6;2387.9;112
240408;170000;2387.5;2390.8;2380.4;2390.8;303
240408;180000;2390.8;2391.9;2389.9;2390;30
240408;190000;2387.4;2390;2386.2;2388.7;26
240408;200000;2390.6;2397.1;2390.6;2396.5;71
240408;210000;2396.6;2400.6;2396.5;2397.2;88
240408;220000;2397.9;2400;2397.2;2398.4;52
240408;230000;2398.5;2400;2398.5;2399.7;22
240409;090000;2403.7;2404.1;2400.5;2400.9;181
240409;100000;2400.9;2409.2;2400.9;2407;828
240409;110000;2405.3;2413.2;2405;2411.3;863
240409;120000;2411.3;2417;2411.2;2416.4;763
240409;130000;2416.6;2417.9;2412.2;2412.2;421
240409;140000;2412;2412.7;2407.2;2412.6;202
240409;150000;2412;2415.4;2405.8;2411.6;288
