<DATE>,<TIME>,<CLOSE>,<VOL>
240401,90000,2324.2,161
240401,100000,2319.2,98
240401,110000,2317.5,57
240401,120000,2312.3,62
240401,130000,2310.5,94
240401,140000,2312,87
240401,150000,2312.3,78
240401,160000,2310.6,224
240401,170000,2304.2,213
240401,180000,2304.7,61
240401,190000,2302.9,183
240401,200000,2304.7,36
240401,210000,2304.3,45
240401,220000,2308.8,16
240401,230000,2311.3,323
240402,90000,2310.7,1910
240402,100000,2311.5,2970
240402,110000,2312.1,3173
240402,120000,2315,957
240402,130000,2318,150
240402,140000,2319,259
240402,150000,2316,109
240402,160000,2323.3,320
240402,170000,2321.9,330
240402,180000,2320.6,250
240402,190000,2318.1,1118
240402,200000,2323.3,97
240402,210000,2326.9,175
240402,220000,2332.1,121
240402,230000,2337.4,110
240403,90000,2336.8,154
240403,100000,2331.1,269
240403,110000,2335.3,234
240403,120000,2334,230
240403,130000,2334.2,42
240403,140000,2335.6,56
240403,150000,2334.9,178
240403,160000,2336.7,160
240403,170000,2342.4,270
240403,180000,2344.1,1999
240403,190000,2349,2599
240403,200000,2349.4,92
240403,210000,2352.1,272
240403,220000,2352.3,99
240403,230000,2353.3,741
240404,90000,2350.8,228
240404,100000,2349.5,172
240404,110000,2351.2,182
240404,120000,2354.6,130
240404,130000,2355.9,366
240404,140000,2350,66
240404,150000,2351.9,169
240404,160000,2351.3,70
240404,170000,2358.2,477
240404,180000,2355,40
240404,190000,2353.5,178
240404,200000,2359.9,38
240404,210000,2366.7,273
240404,220000,2348.4,312
240404,230000,2352,44
240405,90000,2344.1,161
240405,100000,2354.9,902
240405,110000,2350,101
240405,120000,2354.4,125
240405,130000,2356.4,115
240405,140000,2353,35
240405,150000,2350.9,235
240405,160000,2362,169
240405,170000,2369.4,4499
240405,180000,2381,2352
240405,190000,2384.7,498
240405,200000,2384.5,122
240405,210000,2384,55
240405,220000,2382.5,110
240405,230000,2389.3,104
240408,90000,2392,333
240408,100000,2392.1,187
240408,110000,2391.6,222
240408,120000,2393,33
240408,130000,2395.7,149
240408,140000,2394.6,62
240408,150000,2388.1,247
240408,160000,2387.9,112
240408,170000,2390.8,303
240408,180000,2390,30
240408,190000,2388.7,26
240408,200000,2396.5,71
240408,210000,2397.2,88
240408,220000,2398.4,52
240408,230000,2399.7,22
240409,90000,2400.9,181
240409,100000,2407,828
240409,110000,2411.3,863
240409,120000,2416.4,763
240409,130000,2412.2,421
240409,140000,2412.6,202
240409,150000,2411.6,288
240409,160000,2414,191
240409,170000,2411.8,333
240409,180000,2403.6,111
240409,190000,2404.7,116
240409,200000,2407.2,112
240409,210000,2410.5,41
240409,220000,2411.1,44
240409,230000,2413.3,46
240410,90000,2413.9,131
240410,100000,2409.7,61
240410,110000,2411,98
240410,120000,2406.8,174
240410,130000,2404.2,94
240410,140000,2405.7,45
240410,150000,2395,571
240410,160000,2394.1,578
240410,170000,2402.2,370
240410,180000,2397.6,239
240410,190000,2397.7,52
240410,200000,2397.1,268
240410,210000,2389.3,165
240410,220000,2391.7,81
240410,230000,2392.1,80
240411,90000,2394.7,166
240411,100000,2394.7,48
240411,110000,2388.9,284
240411,120000,2392.2,120
240411,130000,2400.5,111
240411,140000,2402,98
240411,150000,2405.5,442
240411,160000,2406.8,241
240411,170000,2403,195
240411,180000,2407.9,78
240411,190000,2413.2,166
240411,200000,2420.2,273
240411,210000,2424.9,521
240411,220000,2436.1,199
240411,230000,2442.8,153
240412,90000,2454.5,802
240412,100000,2457,380
240412,110000,2453.4,55
240412,120000,2455.4,283
240412,130000,2458.2,187
240412,140000,2455.6,119
